%Time(s);X-Position (X[2]);Y-Position (X[1]);Input U
0.00000000e+00;9.97987525e-05;9.99958400e-03;0.00000000e+00
1.00000000e-02;1.99750649e-04;1.00369203e-02;3.87674234e-01
2.00000000e-02;3.00094139e-04;1.00788136e-02;4.41531683e-01
3.00000000e-02;4.00866737e-04;1.01233518e-02;4.75853704e-01
4.00000000e-02;5.02091328e-04;1.01696913e-02;5.01477390e-01
5.00000000e-02;6.03783871e-04;1.02173477e-02;5.22073508e-01
6.00000000e-02;7.05956189e-04;1.02660041e-02;5.39361815e-01
7.00000000e-02;8.08617324e-04;1.03154355e-02;5.54295150e-01
8.00000000e-02;9.11774311e-04;1.03654732e-02;5.67459865e-01
9.00000000e-02;1.01543265e-03;1.04159853e-02;5.79243917e-01
1.00000000e-01;1.11959663e-03;1.04668654e-02;5.89918049e-01
1.10000000e-01;1.22426956e-03;1.05180259e-02;5.99679097e-01
1.20000000e-01;1.32945394e-03;1.05693925e-02;6.08674887e-01
1.30000000e-01;1.43515154e-03;1.06209015e-02;6.17019401e-01
1.40000000e-01;1.54136357e-03;1.06724976e-02;6.24802474e-01
1.50000000e-01;1.64809069e-03;1.07241318e-02;6.32096226e-01
1.60000000e-01;1.75533309e-03;1.07757605e-02;6.38959478e-01
1.70000000e-01;1.86309056e-03;1.08273442e-02;6.45440861e-01
1.80000000e-01;1.97136251e-03;1.08788472e-02;6.51581064e-01
1.90000000e-01;2.08014798e-03;1.09302366e-02;6.57414492e-01
2.00000000e-01;2.18944571e-03;1.09814823e-02;6.62970505e-01
2.10000000e-01;2.29925417e-03;1.10325559e-02;6.68274373e-01
2.20000000e-01;2.40957152e-03;1.10834313e-02;6.73348004e-01
2.30000000e-01;2.52039567e-03;1.11340838e-02;6.78210525e-01
2.40000000e-01;2.63172431e-03;1.11844899e-02;6.82878735e-01
2.50000000e-01;2.74355489e-03;1.12346275e-02;6.87367473e-01
2.60000000e-01;2.85588464e-03;1.12844756e-02;6.91689914e-01
2.70000000e-01;2.96871058e-03;1.13340140e-02;6.95857810e-01
2.80000000e-01;3.08202954e-03;1.13832233e-02;6.99881694e-01
2.90000000e-01;3.19583817e-03;1.14320849e-02;7.03771038e-01
3.00000000e-01;3.31013292e-03;1.14805808e-02;7.07534396e-01
3.10000000e-01;3.42491006e-03;1.15286938e-02;7.11179522e-01
3.20000000e-01;3.54016570e-03;1.15764067e-02;7.14713463e-01
3.30000000e-01;3.65589579e-03;1.16237033e-02;7.18142645e-01
3.40000000e-01;3.77209610e-03;1.16705676e-02;7.21472947e-01
3.50000000e-01;3.88876225e-03;1.17169839e-02;7.24709758e-01
3.60000000e-01;4.00588970e-03;1.17629368e-02;7.27858033e-01
3.70000000e-01;4.12347378e-03;1.18084116e-02;7.30922337e-01
3.80000000e-01;4.24150964e-03;1.18533933e-02;7.33906889e-01
3.90000000e-01;4.35999231e-03;1.18978677e-02;7.36815590e-01
4.00000000e-01;4.47891666e-03;1.19418204e-02;7.39652062e-01
4.10000000e-01;4.59827743e-03;1.19852374e-02;7.42419667e-01
4.20000000e-01;4.71806922e-03;1.20281050e-02;7.45121537e-01
4.30000000e-01;4.83828648e-03;1.20704095e-02;7.47760591e-01
4.40000000e-01;4.95892354e-03;1.21121373e-02;7.50339557e-01
4.50000000e-01;5.07997458e-03;1.21532752e-02;7.52860987e-01
4.60000000e-01;5.20143368e-03;1.21938099e-02;7.55327271e-01
4.70000000e-01;5.32329474e-03;1.22337284e-02;7.57740653e-01
4.80000000e-01;5.44555157e-03;1.22730176e-02;7.60103238e-01
4.90000000e-01;5.56819784e-03;1.23116647e-02;7.62417011e-01
5.00000000e-01;5.69122708e-03;1.23496570e-02;7.64683839e-01
5.10000000e-01;5.81463270e-03;1.23869816e-02;7.66905483e-01
5.20000000e-01;5.93840799e-03;1.24236261e-02;7.69083606e-01
5.30000000e-01;6.06254611e-03;1.24595779e-02;7.71219781e-01
5.40000000e-01;6.18704009e-03;1.24948244e-02;7.73315495e-01
5.50000000e-01;6.31188285e-03;1.25293534e-02;7.75372158e-01
5.60000000e-01;6.43706716e-03;1.25631524e-02;7.77391105e-01
5.70000000e-01;6.56258570e-03;1.25962091e-02;7.79373605e-01
5.80000000e-01;6.68843101e-03;1.26285113e-02;7.81320862e-01
5.90000000e-01;6.81459550e-03;1.26600469e-02;7.83234022e-01
6.00000000e-01;6.94107147e-03;1.26908036e-02;7.85114175e-01
6.10000000e-01;7.06785110e-03;1.27207693e-02;7.86962359e-01
6.20000000e-01;7.19492645e-03;1.27499319e-02;7.88779565e-01
6.30000000e-01;7.32228944e-03;1.27782795e-02;7.90566735e-01
6.40000000e-01;7.44993190e-03;1.28057999e-02;7.92324772e-01
6.50000000e-01;7.57784552e-03;1.28324812e-02;7.94054536e-01
6.60000000e-01;7.70602188e-03;1.28583114e-02;7.95756850e-01
6.70000000e-01;7.83445243e-03;1.28832786e-02;7.97432502e-01
6.80000000e-01;7.96312851e-03;1.29073709e-02;7.99082247e-01
6.90000000e-01;8.09204134e-03;1.29305764e-02;8.00706805e-01
7.00000000e-01;8.22118202e-03;1.29528832e-02;8.02306869e-01
7.10000000e-01;8.35054153e-03;1.29742795e-02;8.03883104e-01
7.20000000e-01;8.48011073e-03;1.29947534e-02;8.05436145e-01
7.30000000e-01;8.60988037e-03;1.30142932e-02;8.06966606e-01
7.40000000e-01;8.73984109e-03;1.30328871e-02;8.08475073e-01
7.50000000e-01;8.86998338e-03;1.30505233e-02;8.09962113e-01
7.60000000e-01;9.00029765e-03;1.30671900e-02;8.11428267e-01
7.70000000e-01;9.13077416e-03;1.30828755e-02;8.12874060e-01
7.80000000e-01;9.26140308e-03;1.30975681e-02;8.14299994e-01
7.90000000e-01;9.39217445e-03;1.31112561e-02;8.15706555e-01
8.00000000e-01;9.52307820e-03;1.31239277e-02;8.17094209e-01
8.10000000e-01;9.65410412e-03;1.31355714e-02;8.18463408e-01
8.20000000e-01;9.78524193e-03;1.31461754e-02;8.19814586e-01
8.30000000e-01;9.91648118e-03;1.31557281e-02;8.21148162e-01
8.40000000e-01;1.00478113e-02;1.31642179e-02;8.22464542e-01
8.50000000e-01;1.01792218e-02;1.31716332e-02;8.23764115e-01
8.60000000e-01;1.03107017e-02;1.31779623e-02;8.25047261e-01
8.70000000e-01;1.04422401e-02;1.31831937e-02;8.26314343e-01
8.80000000e-01;1.05738262e-02;1.31873158e-02;8.27565716e-01
8.90000000e-01;1.07054488e-02;1.31903170e-02;8.28801721e-01
9.00000000e-01;1.08370966e-02;1.31921859e-02;8.30022688e-01
9.10000000e-01;1.09687582e-02;1.31929109e-02;8.31228937e-01
9.20000000e-01;1.11004223e-02;1.31924804e-02;8.32420779e-01
9.30000000e-01;1.12320773e-02;1.31908832e-02;8.33598512e-01
9.40000000e-01;1.13637114e-02;1.31881075e-02;8.34762429e-01
9.50000000e-01;1.14953128e-02;1.31841421e-02;8.35912811e-01
9.60000000e-01;1.16268697e-02;1.31789754e-02;8.37049931e-01
9.70000000e-01;1.17583700e-02;1.31725962e-02;8.38174055e-01
9.80000000e-01;1.18898014e-02;1.31649929e-02;8.39285440e-01
9.90000000e-01;1.20211519e-02;1.31561542e-02;8.40384336e-01
1.00000000e+00;1.21524090e-02;1.31460689e-02;8.41470985e-01
1.01000000e+00;1.22835601e-02;1.31347255e-02;8.42545622e-01
1.02000000e+00;1.24145928e-02;1.31221127e-02;8.43608478e-01
1.03000000e+00;1.25454943e-02;1.31082194e-02;8.44659773e-01
1.04000000e+00;1.26762517e-02;1.30930342e-02;8.45699723e-01
1.05000000e+00;1.28068522e-02;1.30765460e-02;8.46728540e-01
1.06000000e+00;1.29372826e-02;1.30587435e-02;8.47746427e-01
1.07000000e+00;1.30675299e-02;1.30396155e-02;8.48753583e-01
1.08000000e+00;1.31975806e-02;1.30191510e-02;8.49750201e-01
1.09000000e+00;1.33274216e-02;1.29973389e-02;8.50736470e-01
1.10000000e+00;1.34570392e-02;1.29741680e-02;8.51712573e-01
1.11000000e+00;1.35864198e-02;1.29496273e-02;8.52678688e-01
1.12000000e+00;1.37155498e-02;1.29237057e-02;8.53634989e-01
1.13000000e+00;1.38444152e-02;1.28963925e-02;8.54581645e-01
1.14000000e+00;1.39730023e-02;1.28676765e-02;8.55518822e-01
1.15000000e+00;1.41012969e-02;1.28375468e-02;8.56446679e-01
1.16000000e+00;1.42292848e-02;1.28059927e-02;8.57365375e-01
1.17000000e+00;1.43569519e-02;1.27730032e-02;8.58275060e-01
1.18000000e+00;1.44842837e-02;1.27385676e-02;8.59175886e-01
1.19000000e+00;1.46112657e-02;1.27026751e-02;8.60067996e-01
1.20000000e+00;1.47378835e-02;1.26653150e-02;8.60951533e-01
1.21000000e+00;1.48641222e-02;1.26264766e-02;8.61826636e-01
1.22000000e+00;1.49899671e-02;1.25861493e-02;8.62693439e-01
1.23000000e+00;1.51154033e-02;1.25443226e-02;8.63552074e-01
1.24000000e+00;1.52404158e-02;1.25009858e-02;8.64402670e-01
1.25000000e+00;1.53649895e-02;1.24561285e-02;8.65245354e-01
1.26000000e+00;1.54891091e-02;1.24097403e-02;8.66080247e-01
1.27000000e+00;1.56127593e-02;1.23618108e-02;8.66907470e-01
1.28000000e+00;1.57359247e-02;1.23123296e-02;8.67727140e-01
1.29000000e+00;1.58585898e-02;1.22612864e-02;8.68539372e-01
1.30000000e+00;1.59807390e-02;1.22086710e-02;8.69344278e-01
1.31000000e+00;1.61023564e-02;1.21544733e-02;8.70141968e-01
1.32000000e+00;1.62234263e-02;1.20986831e-02;8.70932548e-01
1.33000000e+00;1.63439328e-02;1.20412903e-02;8.71716124e-01
1.34000000e+00;1.64638598e-02;1.19822849e-02;8.72492798e-01
1.35000000e+00;1.65831911e-02;1.19216571e-02;8.73262670e-01
1.36000000e+00;1.67019105e-02;1.18593968e-02;8.74025839e-01
1.37000000e+00;1.68200018e-02;1.17954944e-02;8.74782400e-01
1.38000000e+00;1.69374484e-02;1.17299400e-02;8.75532448e-01
1.39000000e+00;1.70542339e-02;1.16627239e-02;8.76276074e-01
1.40000000e+00;1.71703416e-02;1.15938365e-02;8.77013370e-01
